Date,Price,Open,High,Low,Vol.,Change %
03/24/2023,62.43,61.39,64.22,61.39,123.04K,1.69%
03/23/2023,61.39,63.28,63.28,60.44,848.77K,-2.99%
03/22/2023,63.28,64.69,65.07,63.28,13.19K,-1.47%
03/21/2023,64.22,66.11,66.11,64.22,46.22K,-2.86%
03/20/2023,66.11,65.92,67.53,64.69,194.61K,-0.57%
03/17/2023,66.49,63.28,67.05,63.28,401.96K,3.53%
03/16/2023,64.22,64.79,65.17,63.37,16.25K,1.49%
03/15/2023,63.28,62.33,65.17,62.33,173.60K,1.52%
03/14/2023,62.33,63.09,63.75,61.86,139.06K,-1.49%
03/13/2023,63.28,63.28,63.84,60.92,194.67K,-1.18%
03/10/2023,64.03,65.17,65.17,62.33,69.84K,-3.00%
03/09/2023,66.02,67.05,67.05,64.98,88.79K,-1.55%
03/08/2023,67.05,67.9,67.9,65.26,368.06K,1.28%
03/07/2023,66.2,66.11,67.43,65.35,750.02K,1.89%
03/03/2023,64.98,64.22,66.49,64.22,613.09K,2.69%
03/02/2023,63.28,62.24,63.28,61.29,2.37M,3.08%
03/01/2023,61.39,61.29,61.86,61.1,157.37K,0.00%
02/28/2023,61.39,61.39,62.33,61.29,366.22K,-1.96%
02/27/2023,62.62,65.07,65.07,59.97,371.72K,0.30%
02/24/2023,62.43,62.33,65.17,61.86,603.64K,0.92%
02/23/2023,61.86,60.44,62.33,60.35,144.29K,0.77%
02/22/2023,61.39,61.39,65.17,60.44,100.92K,-1.52%
02/21/2023,62.33,61.39,62.33,59.5,354.40K,1.23%
02/20/2023,61.58,59.22,66.11,59.22,340.99K,3.99%
02/17/2023,59.22,58.55,60.44,58.08,446.69K,2.79%
02/16/2023,57.61,55.72,58.55,54.78,36.96K,4.81%
02/15/2023,54.97,55.72,57.04,54.78,9.03K,-1.36%
02/14/2023,55.72,56.67,58.18,54.78,34.61K,-1.67%
02/13/2023,56.67,58.18,58.55,55.82,21.76K,-3.23%
02/10/2023,58.55,58.46,58.55,57.14,44.09K,0.16%
02/09/2023,58.46,57.7,58.55,56.67,35.07K,0.49%
02/08/2023,58.18,58.18,58.55,55.82,36.21K,-0.65%
02/07/2023,58.55,58.55,59.5,55.72,65.84K,0.00%
02/06/2023,58.55,61.29,61.39,56.67,108.97K,-4.32%
02/03/2023,61.2,58.55,61.39,58.55,259.76K,6.23%
